location,time_period,disease_cases
BdLcDbLQd88,202410,4.0
BdLcDbLQd88,202411,5.0
BdLcDbLQd88,202412,0.0
BywOwm8jUhf,202201,0.0
BywOwm8jUhf,202202,0.0
BywOwm8jUhf,202203,0.0
BywOwm8jUhf,202204,0.0
BywOwm8jUhf,202205,0.0
BywOwm8jUhf,202206,2.0
BywOwm8jUhf,202207,0.0
BywOwm8jUhf,202208,10.0
BywOwm8jUhf,202209,270.0
BywOwm8jUhf,202210,44.0
BywOwm8jUhf,202211,12.0
BywOwm8jUhf,202212,11.0
BywOwm8jUhf,202301,9.0
BywOwm8jUhf,202302,33.0
BywOwm8jUhf,202303,117.0
BywOwm8jUhf,202304,15.0
BywOwm8jUhf,202305,9.0
BywOwm8jUhf,202306,5.0
BywOwm8jUhf,202307,3.0
BywOwm8jUhf,202308,38.0
BywOwm8jUhf,202309,15.0
BywOwm8jUhf,202310,18.0
BywOwm8jUhf,202311,4.0
BywOwm8jUhf,202312,1.0
BywOwm8jUhf,202401,0.0
BywOwm8jUhf,202402,0.0
BywOwm8jUhf,202403,0.0
BywOwm8jUhf,202404,1.0
BywOwm8jUhf,202405,7.0
BywOwm8jUhf,202406,6.0
BywOwm8jUhf,202407,5.0
BywOwm8jUhf,202408,7.0
BywOwm8jUhf,202409,19.0
BywOwm8jUhf,202410,12.0
BywOwm8jUhf,202411,5.0
BywOwm8jUhf,202412,0.0
CNFRaFUfLjo,202201,1.0
CNFRaFUfLjo,202202,0.0
CNFRaFUfLjo,202203,1.0
CNFRaFUfLjo,202204,0.0
CNFRaFUfLjo,202205,1.0
CNFRaFUfLjo,202206,1.0
CNFRaFUfLjo,202207,2.0
CNFRaFUfLjo,202208,5.0
CNFRaFUfLjo,202209,68.0
CNFRaFUfLjo,202210,125.0
CNFRaFUfLjo,202211,35.0
CNFRaFUfLjo,202212,16.0
CNFRaFUfLjo,202301,5.0
CNFRaFUfLjo,202302,2.0
CNFRaFUfLjo,202303,6.0
CNFRaFUfLjo,202304,3.0
CNFRaFUfLjo,202305,0.0
CNFRaFUfLjo,202306,8.0
CNFRaFUfLjo,202307,453.0
CNFRaFUfLjo,202308,854.0
CNFRaFUfLjo,202309,2212.0
CNFRaFUfLjo,202310,184.0
CNFRaFUfLjo,202311,70.0
CNFRaFUfLjo,202312,28.0
CNFRaFUfLjo,202401,22.0
CNFRaFUfLjo,202402,17.0
CNFRaFUfLjo,202403,11.0
CNFRaFUfLjo,202404,10.0
CNFRaFUfLjo,202405,44.0
CNFRaFUfLjo,202406,15.0
CNFRaFUfLjo,202407,10.0
CNFRaFUfLjo,202408,38.0
CNFRaFUfLjo,202409,46.0
CNFRaFUfLjo,202410,43.0
CNFRaFUfLjo,202411,31.0
CNFRaFUfLjo,202412,1.0
D51gR5DC5vt,202201,1.0
D51gR5DC5vt,202202,0.0
D51gR5DC5vt,202203,0.0
D51gR5DC5vt,202204,0.0
D51gR5DC5vt,202205,0.0
D51gR5DC5vt,202206,0.0
D51gR5DC5vt,202207,6.0
D51gR5DC5vt,202208,6.0
D51gR5DC5vt,202209,10.0
D51gR5DC5vt,202210,4.0
D51gR5DC5vt,202211,1.0
D51gR5DC5vt,202212,3.0
D51gR5DC5vt,202301,0.0
D51gR5DC5vt,202302,0.0
D51gR5DC5vt,202303,0.0
D51gR5DC5vt,202304,0.0
D51gR5DC5vt,202305,0.0
D51gR5DC5vt,202306,0.0
D51gR5DC5vt,202307,2.0
D51gR5DC5vt,202308,0.0
D51gR5DC5vt,202309,0.0
D51gR5DC5vt,202310,0.0
D51gR5DC5vt,202311,0.0
D51gR5DC5vt,202312,1.0
D51gR5DC5vt,202401,0.0
D51gR5DC5vt,202402,0.0
D51gR5DC5vt,202403,0.0
D51gR5DC5vt,202404,0.0
D51gR5DC5vt,202405,0.0
D51gR5DC5vt,202406,0.0
D51gR5DC5vt,202407,0.0
D51gR5DC5vt,202408,2.0
D51gR5DC5vt,202409,4.0
D51gR5DC5vt,202410,6.0
D51gR5DC5vt,202411,2.0
D51gR5DC5vt,202412,0.0
DLyaDAF00hm,202201,0.0
DLyaDAF00hm,202202,0.0
DLyaDAF00hm,202203,0.0
DLyaDAF00hm,202204,0.0
DLyaDAF00hm,202205,0.0
DLyaDAF00hm,202206,0.0
DLyaDAF00hm,202207,0.0
DLyaDAF00hm,202208,5.0
DLyaDAF00hm,202209,36.0
DLyaDAF00hm,202210,0.0
DLyaDAF00hm,202211,16.0
DLyaDAF00hm,202212,4.0
DLyaDAF00hm,202301,1.0
DLyaDAF00hm,202302,0.0
DLyaDAF00hm,202303,0.0
DLyaDAF00hm,202304,0.0
DLyaDAF00hm,202305,0.0
DLyaDAF00hm,202306,0.0
DLyaDAF00hm,202307,5.0
DLyaDAF00hm,202308,10.0
DLyaDAF00hm,202309,6.0
DLyaDAF00hm,202310,9.0
DLyaDAF00hm,202311,5.0
DLyaDAF00hm,202312,1.0
DLyaDAF00hm,202401,0.0
DLyaDAF00hm,202402,0.0
DLyaDAF00hm,202403,0.0
DLyaDAF00hm,202404,1.0
DLyaDAF00hm,202405,0.0
DLyaDAF00hm,202406,0.0
DLyaDAF00hm,202407,0.0
DLyaDAF00hm,202408,0.0
DLyaDAF00hm,202409,9.0
DLyaDAF00hm,202410,9.0
DLyaDAF00hm,202411,4.0
DLyaDAF00hm,202412,0.0
EXKX4gJ9D6Y,202201,0.0
EXKX4gJ9D6Y,202202,0.0
EXKX4gJ9D6Y,202203,0.0
EXKX4gJ9D6Y,202204,0.0
EXKX4gJ9D6Y,202205,2.0
EXKX4gJ9D6Y,202206,1.0
EXKX4gJ9D6Y,202207,1.0
EXKX4gJ9D6Y,202208,19.0
EXKX4gJ9D6Y,202209,63.0
EXKX4gJ9D6Y,202210,37.0
EXKX4gJ9D6Y,202211,30.0
EXKX4gJ9D6Y,202212,1.0
EXKX4gJ9D6Y,202301,0.0
EXKX4gJ9D6Y,202302,1.0
EXKX4gJ9D6Y,202303,0.0
EXKX4gJ9D6Y,202304,1.0
EXKX4gJ9D6Y,202305,1.0
EXKX4gJ9D6Y,202306,1.0
EXKX4gJ9D6Y,202307,0.0
EXKX4gJ9D6Y,202308,34.0
EXKX4gJ9D6Y,202309,3.0
EXKX4gJ9D6Y,202310,27.0
EXKX4gJ9D6Y,202311,2.0
EXKX4gJ9D6Y,202312,4.0
EXKX4gJ9D6Y,202401,0.0
EXKX4gJ9D6Y,202402,0.0
EXKX4gJ9D6Y,202403,0.0
EXKX4gJ9D6Y,202404,0.0
EXKX4gJ9D6Y,202405,0.0
EXKX4gJ9D6Y,202406,2.0
EXKX4gJ9D6Y,202407,1.0
EXKX4gJ9D6Y,202408,11.0
EXKX4gJ9D6Y,202409,27.0
EXKX4gJ9D6Y,202410,26.0
EXKX4gJ9D6Y,202411,15.0
EXKX4gJ9D6Y,202412,1.0
F5xI4hl77mT,202201,1.0
F5xI4hl77mT,202202,0.0
F5xI4hl77mT,202203,2.0
F5xI4hl77mT,202204,1.0
F5xI4hl77mT,202205,0.0
F5xI4hl77mT,202206,7.0
F5xI4hl77mT,202207,109.0
F5xI4hl77mT,202208,315.0
F5xI4hl77mT,202209,374.0
F5xI4hl77mT,202210,370.0
F5xI4hl77mT,202211,20.0
F5xI4hl77mT,202212,16.0
F5xI4hl77mT,202301,7.0
F5xI4hl77mT,202302,6.0
F5xI4hl77mT,202303,4.0
F5xI4hl77mT,202304,3.0
F5xI4hl77mT,202305,0.0
F5xI4hl77mT,202306,6.0
F5xI4hl77mT,202307,19.0
F5xI4hl77mT,202308,47.0
F5xI4hl77mT,202309,73.0
F5xI4hl77mT,202310,101.0
F5xI4hl77mT,202311,21.0
F5xI4hl77mT,202312,6.0
F5xI4hl77mT,202401,3.0
F5xI4hl77mT,202402,8.0
F5xI4hl77mT,202403,6.0
F5xI4hl77mT,202404,9.0
F5xI4hl77mT,202405,2.0
F5xI4hl77mT,202406,2.0
F5xI4hl77mT,202407,12.0
F5xI4hl77mT,202408,28.0
F5xI4hl77mT,202409,81.0
F5xI4hl77mT,202410,46.0
F5xI4hl77mT,202411,51.0
F5xI4hl77mT,202412,0.0
Fh294RrB7an,202201,0.0
Fh294RrB7an,202202,0.0
Fh294RrB7an,202203,0.0
Fh294RrB7an,202204,0.0
Fh294RrB7an,202205,0.0
Fh294RrB7an,202206,3.0
Fh294RrB7an,202207,1.0
Fh294RrB7an,202208,3.0
Fh294RrB7an,202209,68.0
Fh294RrB7an,202210,94.0
Fh294RrB7an,202211,37.0
Fh294RrB7an,202212,8.0
Fh294RrB7an,202301,1.0
Fh294RrB7an,202302,0.0
Fh294RrB7an,202303,0.0
Fh294RrB7an,202304,0.0
Fh294RrB7an,202305,0.0
Fh294RrB7an,202306,1.0
Fh294RrB7an,202307,4.0
Fh294RrB7an,202308,3.0
Fh294RrB7an,202309,31.0
Fh294RrB7an,202310,18.0
Fh294RrB7an,202311,2.0
Fh294RrB7an,202312,0.0
Fh294RrB7an,202401,2.0
Fh294RrB7an,202402,1.0
Fh294RrB7an,202403,0.0
Fh294RrB7an,202404,1.0
Fh294RrB7an,202405,1.0
Fh294RrB7an,202406,0.0
Fh294RrB7an,202407,1.0
Fh294RrB7an,202408,14.0
Fh294RrB7an,202409,22.0
Fh294RrB7an,202410,46.0
Fh294RrB7an,202411,24.0
Fh294RrB7an,202412,0.0
GnpIwWbdxdl,202201,0.0
GnpIwWbdxdl,202202,0.0
GnpIwWbdxdl,202203,0.0
GnpIwWbdxdl,202204,0.0
GnpIwWbdxdl,202205,1.0
GnpIwWbdxdl,202206,1.0
GnpIwWbdxdl,202207,1.0
GnpIwWbdxdl,202208,1.0
GnpIwWbdxdl,202209,21.0
GnpIwWbdxdl,202210,12.0
GnpIwWbdxdl,202211,3.0
GnpIwWbdxdl,202212,0.0
GnpIwWbdxdl,202301,1.0
GnpIwWbdxdl,202302,1.0
GnpIwWbdxdl,202303,1.0
GnpIwWbdxdl,202304,2.0
GnpIwWbdxdl,202305,5.0
GnpIwWbdxdl,202306,4.0
GnpIwWbdxdl,202307,26.0
GnpIwWbdxdl,202308,44.0
GnpIwWbdxdl,202309,34.0
GnpIwWbdxdl,202310,54.0
GnpIwWbdxdl,202311,0.0
GnpIwWbdxdl,202312,0.0
GnpIwWbdxdl,202401,0.0
GnpIwWbdxdl,202402,0.0
GnpIwWbdxdl,202403,10.0
GnpIwWbdxdl,202404,12.0
GnpIwWbdxdl,202405,2.0
GnpIwWbdxdl,202406,9.0
GnpIwWbdxdl,202407,16.0
GnpIwWbdxdl,202408,20.0
GnpIwWbdxdl,202409,32.0
GnpIwWbdxdl,202410,32.0
GnpIwWbdxdl,202411,22.0
GnpIwWbdxdl,202412,0.0
HL5fSUsp2vJ,202201,0.0
HL5fSUsp2vJ,202202,0.0
HL5fSUsp2vJ,202203,0.0
HL5fSUsp2vJ,202204,0.0
HL5fSUsp2vJ,202205,0.0
HL5fSUsp2vJ,202206,0.0
HL5fSUsp2vJ,202207,1.0
HL5fSUsp2vJ,202208,0.0
HL5fSUsp2vJ,202209,26.0
HL5fSUsp2vJ,202210,4.0
HL5fSUsp2vJ,202211,5.0
HL5fSUsp2vJ,202212,0.0
HL5fSUsp2vJ,202301,0.0
HL5fSUsp2vJ,202302,0.0
HL5fSUsp2vJ,202303,0.0
HL5fSUsp2vJ,202304,0.0
HL5fSUsp2vJ,202305,1.0
HL5fSUsp2vJ,202306,0.0
HL5fSUsp2vJ,202307,2.0
HL5fSUsp2vJ,202308,2.0
HL5fSUsp2vJ,202309,3.0
HL5fSUsp2vJ,202310,5.0
HL5fSUsp2vJ,202311,0.0
HL5fSUsp2vJ,202312,0.0
HL5fSUsp2vJ,202401,0.0
HL5fSUsp2vJ,202402,0.0
HL5fSUsp2vJ,202403,0.0
HL5fSUsp2vJ,202404,1.0
HL5fSUsp2vJ,202405,1.0
HL5fSUsp2vJ,202406,1.0
HL5fSUsp2vJ,202407,1.0
HL5fSUsp2vJ,202408,5.0
HL5fSUsp2vJ,202409,19.0
HL5fSUsp2vJ,202410,10.0
HL5fSUsp2vJ,202411,1.0
HL5fSUsp2vJ,202412,0.0
HfIRB3HRHvk,202201,0.0
HfIRB3HRHvk,202202,0.0
HfIRB3HRHvk,202203,0.0
HfIRB3HRHvk,202204,0.0
HfIRB3HRHvk,202205,0.0
HfIRB3HRHvk,202206,0.0
HfIRB3HRHvk,202207,6.0
HfIRB3HRHvk,202208,86.0
HfIRB3HRHvk,202209,1151.0
HfIRB3HRHvk,202210,4204.0
HfIRB3HRHvk,202211,677.0
HfIRB3HRHvk,202212,21.0
HfIRB3HRHvk,202301,5.0
HfIRB3HRHvk,202302,9.0
HfIRB3HRHvk,202303,12.0
HfIRB3HRHvk,202304,5.0
HfIRB3HRHvk,202305,2.0
HfIRB3HRHvk,202306,3.0
HfIRB3HRHvk,202307,35.0
HfIRB3HRHvk,202308,154.0
HfIRB3HRHvk,202309,125.0
HfIRB3HRHvk,202310,241.0
HfIRB3HRHvk,202311,30.0
HfIRB3HRHvk,202312,9.0
HfIRB3HRHvk,202401,14.0
HfIRB3HRHvk,202402,3.0
HfIRB3HRHvk,202403,2.0
HfIRB3HRHvk,202404,3.0
HfIRB3HRHvk,202405,4.0
HfIRB3HRHvk,202406,7.0
HfIRB3HRHvk,202407,7.0
HfIRB3HRHvk,202408,41.0
HfIRB3HRHvk,202409,165.0
HfIRB3HRHvk,202410,705.0
HfIRB3HRHvk,202411,312.0
HfIRB3HRHvk,202412,0.0
HkwA8YQgJK6,202201,0.0
HkwA8YQgJK6,202202,0.0
HkwA8YQgJK6,202203,0.0
HkwA8YQgJK6,202204,0.0
HkwA8YQgJK6,202205,0.0
HkwA8YQgJK6,202206,0.0
HkwA8YQgJK6,202207,1.0
HkwA8YQgJK6,202208,1.0
HkwA8YQgJK6,202209,72.0
HkwA8YQgJK6,202210,8.0
HkwA8YQgJK6,202211,2.0
HkwA8YQgJK6,202212,1.0
HkwA8YQgJK6,202301,0.0
HkwA8YQgJK6,202302,2.0
HkwA8YQgJK6,202303,0.0
HkwA8YQgJK6,202304,0.0
HkwA8YQgJK6,202305,2.0
HkwA8YQgJK6,202306,0.0
HkwA8YQgJK6,202307,1.0
HkwA8YQgJK6,202308,29.0
HkwA8YQgJK6,202309,5.0
HkwA8YQgJK6,202310,1.0
HkwA8YQgJK6,202311,0.0
HkwA8YQgJK6,202312,0.0
HkwA8YQgJK6,202401,4.0
HkwA8YQgJK6,202402,8.0
HkwA8YQgJK6,202403,9.0
HkwA8YQgJK6,202404,6.0
HkwA8YQgJK6,202405,2.0
HkwA8YQgJK6,202406,20.0
HkwA8YQgJK6,202407,4.0
HkwA8YQgJK6,202408,3.0
HkwA8YQgJK6,202409,19.0
HkwA8YQgJK6,202410,25.0
HkwA8YQgJK6,202411,12.0
HkwA8YQgJK6,202412,1.0
ICSVN3EZGcy,202201,0.0
ICSVN3EZGcy,202202,0.0
ICSVN3EZGcy,202203,0.0
ICSVN3EZGcy,202204,0.0
