time_period,location,disease_cases
202203,ICSVN3EZGcy,0.0
202203,IOHIfpVUJGp,0.0
202203,Iqy9A4jXY9l,0.0
202203,JBTkOU5m0Bu,0.0
202203,JH8RPnwv8kB,0.0
202203,LnJ8MTOmgGa,0.0
202203,N7ioObCpMP3,0.0
202203,NSLL7YIXBJH,0.0
202203,O5p5idrXdiw,0.0
202203,P53hVYydxdc,0.0
202203,PUPCyKcUwlS,0.0
202203,PdRpVxkVd9a,0.0
202203,QfZ2pVPRFmz,0.0
202203,QzI3Btz60Ne,0.0
202203,RSAZqrdfXy5,1.0
202203,RZxElQxEbZN,0.0
202203,S8J6p6tGXNb,0.0
202203,SJQ2e9HUvaG,0.0
202203,U8Rk7sYzFmK,0.0
202203,VoOb1wMwKp0,0.0
202203,Wep3D4POB3H,0.0
202203,WfE2smSUNDt,0.0
202203,Yacp1fLlWut,0.0
202203,YmFSl06J6cs,1.0
202203,YnUoe8z0OJY,0.0
202203,ZIo35uAAfZo,0.0
202203,ZULmwVN4Zfv,0.0
202203,ZVmULoI6vcV,0.0
202203,bWmwn3sMsG0,1.0
202203,bX87SmYR3TJ,0.0
202203,bjS2Lp3tLxv,0.0
202203,cMWLZfK0O4z,0.0
202203,eW2b8SUYRWt,0.0
202203,ebbAyOhorzo,0.0
202203,elOK8Y2b3Qn,0.0
202203,ewPc6zXy53n,0.0
202203,gannbFbizVo,1.0
202203,grMJpaDdSrD,0.0
202203,hasbXH0dTqM,0.0
202203,i6gMyoP9ReK,0.0
202203,iqLM1XBMxyu,0.0
202203,j0gE31YxwHQ,
202203,j4HVtKmVtwQ,0.0
202203,jJmNryYp6Mc,0.0
202203,kBRVmS9IKRE,0.0
202203,kfrKchZfqGr,0.0
202203,l8tZrJ55yzg,0.0
202203,mMGyx6JG7wj,0.0
202203,q7VB2VrUr83,0.0
202203,qoayxucpZqH,0.0
202203,rsZaqJl5R0A,0.0
202203,t9XsLKdMwA1,0.0
202203,tSE6ctwvZmP,0.0
202203,uHEl9oRZm8L,0.0
202203,uyGkoQ4F9rT,0.0
202203,vjL1uSC10Jh,0.0
202203,wYKHZ0iyjfd,7.0
202203,xGQwwqLQ819,0.0
202203,yP2GELa6inf,1.0
202203,ycBkX3TlIrL,0.0
202203,zkFZKX5RX1A,0.0
202204,A3R7UT64jHf,0.0
202204,A3TeVhjjS2u,0.0
202204,B7X957nA1lM,0.0
202204,BITtrV4c0xf,0.0
202204,BdLcDbLQd88,0.0
202204,BywOwm8jUhf,0.0
202204,CNFRaFUfLjo,0.0
202204,D51gR5DC5vt,0.0
202204,DLyaDAF00hm,0.0
202204,EXKX4gJ9D6Y,0.0
202204,F5xI4hl77mT,1.0
202204,Fh294RrB7an,0.0
202204,GnpIwWbdxdl,0.0
202204,HL5fSUsp2vJ,0.0
202204,HfIRB3HRHvk,0.0
202204,HkwA8YQgJK6,0.0
