time_period,location,disease_cases
2022-03,ICSVN3EZGcy,0
2022-03,IOHIfpVUJGp,0
2022-03,Iqy9A4jXY9l,0
2022-03,JBTkOU5m0Bu,0
2022-03,JH8RPnwv8kB,0
2022-03,LnJ8MTOmgGa,0
2022-03,N7ioObCpMP3,0
2022-03,NSLL7YIXBJH,0
2022-03,O5p5idrXdiw,0
2022-03,P53hVYydxdc,0
2022-03,PUPCyKcUwlS,0
2022-03,PdRpVxkVd9a,0
2022-03,QfZ2pVPRFmz,0
2022-03,QzI3Btz60Ne,0
2022-03,RSAZqrdfXy5,1
2022-03,RZxElQxEbZN,0
2022-03,S8J6p6tGXNb,0
2022-03,SJQ2e9HUvaG,0
2022-03,U8Rk7sYzFmK,0
2022-03,VoOb1wMwKp0,0
2022-03,Wep3D4POB3H,0
2022-03,WfE2smSUNDt,0
2022-03,Yacp1fLlWut,0
2022-03,YmFSl06J6cs,1
2022-03,YnUoe8z0OJY,0
2022-03,ZIo35uAAfZo,0
2022-03,ZULmwVN4Zfv,0
2022-03,ZVmULoI6vcV,0
2022-03,bWmwn3sMsG0,1
2022-03,bX87SmYR3TJ,0
2022-03,bjS2Lp3tLxv,0
2022-03,cMWLZfK0O4z,0
2022-03,eW2b8SUYRWt,0
2022-03,ebbAyOhorzo,0
2022-03,elOK8Y2b3Qn,0
2022-03,ewPc6zXy53n,0
2022-03,gannbFbizVo,1
2022-03,grMJpaDdSrD,0
2022-03,hasbXH0dTqM,0
2022-03,i6gMyoP9ReK,0
2022-03,iqLM1XBMxyu,0
2022-03,j0gE31YxwHQ,0
2022-03,j4HVtKmVtwQ,0
2022-03,jJmNryYp6Mc,0
2022-03,kBRVmS9IKRE,0
2022-03,kfrKchZfqGr,0
2022-03,l8tZrJ55yzg,0
2022-03,mMGyx6JG7wj,0
2022-03,q7VB2VrUr83,0
2022-03,qoayxucpZqH,0
2022-03,rsZaqJl5R0A,0
2022-03,t9XsLKdMwA1,0
2022-03,tSE6ctwvZmP,0
2022-03,uHEl9oRZm8L,0
2022-03,uyGkoQ4F9rT,0
2022-03,vjL1uSC10Jh,0
2022-03,wYKHZ0iyjfd,7
2022-03,xGQwwqLQ819,0
2022-03,yP2GELa6inf,1
2022-03,ycBkX3TlIrL,0
2022-03,zkFZKX5RX1A,0
2022-04,A3R7UT64jHf,0
2022-04,A3TeVhjjS2u,0
2022-04,B7X957nA1lM,0
2022-04,BITtrV4c0xf,0
2022-04,BdLcDbLQd88,0
2022-04,BywOwm8jUhf,0
2022-04,CNFRaFUfLjo,0
2022-04,D51gR5DC5vt,0
2022-04,DLyaDAF00hm,0
2022-04,EXKX4gJ9D6Y,0
2022-04,F5xI4hl77mT,1
2022-04,Fh294RrB7an,0
2022-04,GnpIwWbdxdl,0
2022-04,HL5fSUsp2vJ,0
2022-04,HfIRB3HRHvk,0
2022-04,HkwA8YQgJK6,0
2022-04,ICSVN3EZGcy,0
2022-04,IOHIfpVUJGp,0
2022-04,Iqy9A4jXY9l,0
2022-04,JBTkOU5m0Bu,0
2022-04,JH8RPnwv8kB,0
2022-04,LnJ8MTOmgGa,0
2022-04,N7ioObCpMP3,0
2022-04,NSLL7YIXBJH,0
2022-04,O5p5idrXdiw,1
2022-04,P53hVYydxdc,0
2022-04,PUPCyKcUwlS,0
2022-04,PdRpVxkVd9a,0
2022-04,QfZ2pVPRFmz,0
2022-04,QzI3Btz60Ne,0
2022-04,RSAZqrdfXy5,1
2022-04,RZxElQxEbZN,0
2022-04,S8J6p6tGXNb,0
2022-04,SJQ2e9HUvaG,0
2022-04,U8Rk7sYzFmK,0
2022-04,VoOb1wMwKp0,0
2022-04,Wep3D4POB3H,0
2022-04,WfE2smSUNDt,0
2022-04,Yacp1fLlWut,0
2022-04,YmFSl06J6cs,0
2022-04,YnUoe8z0OJY,0
2022-04,ZIo35uAAfZo,1
2022-04,ZULmwVN4Zfv,0
2022-04,ZVmULoI6vcV,0
2022-04,bWmwn3sMsG0,2
2022-04,bX87SmYR3TJ,0
2022-04,bjS2Lp3tLxv,0
2022-04,cMWLZfK0O4z,1
2022-04,eW2b8SUYRWt,0
2022-04,ebbAyOhorzo,0
2022-04,elOK8Y2b3Qn,0
2022-04,ewPc6zXy53n,0
2022-04,gannbFbizVo,1
2022-04,grMJpaDdSrD,0
2022-04,hasbXH0dTqM,0
2022-04,i6gMyoP9ReK,0
2022-04,iqLM1XBMxyu,1
2022-04,j0gE31YxwHQ,0
2022-04,j4HVtKmVtwQ,0
2022-04,jJmNryYp6Mc,0
2022-04,kBRVmS9IKRE,3
2022-04,kfrKchZfqGr,0
2022-04,l8tZrJ55yzg,0
2022-04,mMGyx6JG7wj,0
2022-04,q7VB2VrUr83,1
2022-04,qoayxucpZqH,0
2022-04,rsZaqJl5R0A,0
2022-04,t9XsLKdMwA1,0
2022-04,tSE6ctwvZmP,0
2022-04,uHEl9oRZm8L,1
2022-04,uyGkoQ4F9rT,0
2022-04,vjL1uSC10Jh,0
2022-04,wYKHZ0iyjfd,4
2022-04,xGQwwqLQ819,0
2022-04,yP2GELa6inf,0
2022-04,ycBkX3TlIrL,0
2022-04,zkFZKX5RX1A,0
2022-05,A3R7UT64jHf,1
2022-05,A3TeVhjjS2u,0
2022-05,B7X957nA1lM,0
2022-05,BITtrV4c0xf,0
2022-05,BdLcDbLQd88,0
2022-05,BywOwm8jUhf,0
2022-05,CNFRaFUfLjo,1
2022-05,D51gR5DC5vt,0
2022-05,DLyaDAF00hm,0
2022-05,EXKX4gJ9D6Y,2
2022-05,F5xI4hl77mT,0
2022-05,Fh294RrB7an,0
2022-05,GnpIwWbdxdl,1
2022-05,HL5fSUsp2vJ,0
