time_period,location,disease_cases,population,tp,t2m_c
2016-01,A3R7UT64jHf,,813807,0.1883491794736145,16.246458063169836
2016-02,A3R7UT64jHf,,813807,0.1559615516266954,20.6462011411372
2016-03,A3R7UT64jHf,,813807,1.2342182288273778,25.5218816942507
2016-04,A3R7UT64jHf,,813807,0.0672738663528993,30.914539391518424
2016-05,A3R7UT64jHf,,813807,6.305201961574138,28.216795220808088
2016-06,A3R7UT64jHf,,813807,5.969700135492341,28.745582930166112
2016-07,A3R7UT64jHf,,813807,11.43457294480504,27.259363573027148
2016-08,A3R7UT64jHf,,813807,7.043999212166992,28.59669242659024
2016-09,A3R7UT64jHf,,813807,12.875238678486015,26.52559493461773
2016-10,A3R7UT64jHf,,813807,1.4147334830563068,25.398181143675373
2016-11,A3R7UT64jHf,,813807,0.0107935489773901,21.659663248615345
2016-12,A3R7UT64jHf,,813807,0.1049047182755588,18.100519686453573
2017-01,A3R7UT64jHf,,813807,0.1060372022771644,16.48671079810042
2017-02,A3R7UT64jHf,,813807,0.0423104191249131,19.895009837405
2017-03,A3R7UT64jHf,,813807,0.9605316508130044,22.49587436619111
2017-04,A3R7UT64jHf,,813807,1.4347222195622256,27.993178793078933
2017-05,A3R7UT64jHf,,813807,6.002573673734939,29.51144620132736
2017-06,A3R7UT64jHf,,813807,4.6718269913676655,29.137170893567564
2017-07,A3R7UT64jHf,,813807,13.192601745393292,27.56067019291628
2017-08,A3R7UT64jHf,,813807,17.844053812686987,27.49926354508169
2017-09,A3R7UT64jHf,,813807,4.750802715283824,27.62494155019677
2017-10,A3R7UT64jHf,,813807,0.5282051468817288,25.74917949360062
2017-11,A3R7UT64jHf,,813807,0.0040021841584033,21.41916378910267
2017-12,A3R7UT64jHf,,813807,0.0074943386224339,18.46934254072
2018-01,A3R7UT64jHf,,813807,0.0849898819663472,15.13490193065839
2018-02,A3R7UT64jHf,,813807,0.0711713349587701,19.42891906768137
2018-03,A3R7UT64jHf,,813807,0.1369975677243162,25.12843242574409
2018-04,A3R7UT64jHf,,813807,1.3252201324777173,28.2572315613866
2018-05,A3R7UT64jHf,,813807,3.004005970046705,28.92744164687544
2018-06,A3R7UT64jHf,,813807,5.525656903872651,29.709896713639687
2018-07,A3R7UT64jHf,,813807,13.00788261238238,28.232820403763856
2018-08,A3R7UT64jHf,,813807,9.98714137687719,27.85822493143838
2018-09,A3R7UT64jHf,,813807,3.916823511919109,27.43789867771665
2018-10,A3R7UT64jHf,,813807,0.2401545744382785,24.55917329394675
2018-11,A3R7UT64jHf,,813807,0.0066435300116925,21.77987877973588
2018-12,A3R7UT64jHf,,813807,0.0149585265405439,17.09306129923923
2019-01,A3R7UT64jHf,,813807,0.3006510585502731,16.203958505964476
2019-02,A3R7UT64jHf,,813807,2.0859633242893616,18.34957985545265
2019-03,A3R7UT64jHf,,813807,0.176353605820462,23.05758221768373
2019-04,A3R7UT64jHf,,813807,2.144071630480987,27.490564649709032
2019-05,A3R7UT64jHf,,813807,0.5415389180609897,31.147925226815964
2019-06,A3R7UT64jHf,,813807,2.8761535597340058,31.664075854573188
2019-07,A3R7UT64jHf,,813807,24.849746571670902,28.22522549919518
2019-08,A3R7UT64jHf,,813807,6.161219699904696,28.67269537860961
2019-09,A3R7UT64jHf,,813807,14.060989328907452,26.60504082207611
2019-10,A3R7UT64jHf,,813807,0.5972781505011989,24.71037451093993
2019-11,A3R7UT64jHf,,813807,0.0324608563980114,22.50103609763067
2019-12,A3R7UT64jHf,,813807,0.8767586563253864,15.591110775997349
2020-01,A3R7UT64jHf,,813807,1.7628133740188914,15.138902677048996
2020-02,A3R7UT64jHf,,813807,1.165366462042708,17.79289248566049
2020-03,A3R7UT64jHf,,813807,0.5660856476059283,23.099254617387817
2020-04,A3R7UT64jHf,,813807,1.954330824668269,27.161040554184883
2020-05,A3R7UT64jHf,,813807,2.113588292987869,28.48606227979865
2020-06,A3R7UT64jHf,,813807,10.725595092824582,27.84876967393209
2020-07,A3R7UT64jHf,,813807,24.749741745331505,27.38963989706294
2020-08,A3R7UT64jHf,,813807,7.279289909500026,28.514055621082395
2020-09,A3R7UT64jHf,,813807,9.675314991080755,27.288056028292097
2020-10,A3R7UT64jHf,,813807,0.3042216242462265,26.11357841106112
2020-11,A3R7UT64jHf,,813807,0.0042313301062039,20.806888700626395
2020-12,A3R7UT64jHf,,813807,0.0310988588692617,16.955758638693833
2021-01,A3R7UT64jHf,,813807,0.0568807671483259,16.063892976678105
2021-02,A3R7UT64jHf,,813807,0.053217917608341,19.34788775343269
2021-03,A3R7UT64jHf,,813807,0.0344821356931578,24.990265051530866
2021-04,A3R7UT64jHf,,813807,0.228741200349216,28.67818370454335
2021-05,A3R7UT64jHf,,813807,12.225231633750996,26.856261548785824
2021-06,A3R7UT64jHf,,813807,11.584994730442263,27.756019751594
2021-07,A3R7UT64jHf,,813807,10.14776140165448,27.959587295018387
2021-08,A3R7UT64jHf,,813807,15.0096966516641,27.149288726447946
2021-09,A3R7UT64jHf,,813807,5.651925494441492,27.607415653705075
2021-10,A3R7UT64jHf,,813807,6.486147876353584,25.305130313025742
2021-11,A3R7UT64jHf,,813807,0.0096029623856499,19.84769613191816
2021-12,A3R7UT64jHf,,813807,0.8655697499544863,16.920408115740347
2022-01,A3R7UT64jHf,0.0,813807,0.6391569725662207,15.062364635887729
